case_id,activity,timestamp,agent
SME-0000,Step0,2024-11-06T00:00:00+00:00,E8
SME-0000,Step1,2024-11-06T01:27:02.551547873+00:00,E4
SME-0000,Step2,2024-11-06T11:23:48.053020203+00:00,E1
SME-0000,Step3,2024-11-06T22:26:13.173880400+00:00,E1
SME-0000,Step4,2024-11-07T07:27:41.237695366+00:00,E7
SME-0001,Step0,2024-07-23T00:00:00+00:00,E12
SME-0001,Step1,2024-07-23T01:01:48.444606737+00:00,E10
SME-0001,Step2,2024-07-23T02:23:58.433388833+00:00,E5
SME-0001,Step3,2024-07-23T11:25:32.789067458+00:00,E11
SME-0002,Step0,2024-03-05T00:00:00+00:00,E1
SME-0002,Step1,2024-03-05T05:38:58.413959427+00:00,E1
SME-0002,Step2,2024-03-05T06:57:39.872936787+00:00,E4
SME-0002,Step3,2024-03-05T15:20:16.599758654+00:00,E1
SME-0002,Step4,2024-03-05T23:27:25.304416994+00:00,E2
SME-0003,Step0,2024-08-12T00:00:00+00:00,E6
SME-0003,Step1,2024-08-12T08:32:27.462585435+00:00,E10
SME-0003,Step2,2024-08-12T16:41:45.649925640+00:00,E12
SME-0003,Step3,2024-08-12T21:58:26.938315212+00:00,E11
SME-0003,Step4,2024-08-13T00:27:36.759914099+00:00,E9
SME-0003,Step5,2024-08-13T07:14:20.791084137+00:00,E7
SME-0003,Step6,2024-08-13T11:39:06.369356271+00:00,E9
SME-0004,Step0,2024-06-26T00:00:00+00:00,E1
SME-0004,Step1,2024-06-26T07:17:12.581296898+00:00,E7
SME-0004,Step2,2024-06-26T11:49:38.609183505+00:00,E5
SME-0004,Step3,2024-06-26T16:32:39.893713587+00:00,E9
SME-0004,Step4,2024-06-26T21:51:08.006134502+00:00,E8
SME-0004,Step5,2024-06-27T01:21:03.446838423+00:00,E4
SME-0004,Step6,2024-06-27T09:12:21.657767990+00:00,E11
SME-0005,Step0,2024-01-31T00:00:00+00:00,E5
SME-0005,Step1,2024-01-31T10:38:28.775540103+00:00,E4
SME-0005,Step2,2024-01-31T12:17:08.069718388+00:00,E3
SME-0005,Step3,2024-01-31T14:56:19.136607423+00:00,E9
SME-0005,Step4,2024-01-31T20:53:32.575526734+00:00,E5
SME-0005,Step5,2024-02-01T00:25:46.007002886+00:00,E11
SME-0006,Step0,2024-07-27T00:00:00+00:00,E5
SME-0006,Step1,2024-07-27T01:59:53.820606517+00:00,E3
SME-0006,Step2,2024-07-27T06:17:02.187466146+00:00,E8
SME-0006,Step3,2024-07-27T14:40:33.184633217+00:00,E7
SME-0006,Step4,2024-07-28T02:02:20.863809274+00:00,E11
SME-0006,Step5,2024-07-28T07:03:19.226471769+00:00,E3
SME-0006,Step6,2024-07-28T14:58:31.909272741+00:00,E8
SME-0007,Step0,2024-05-29T00:00:00+00:00,E6
SME-0007,Step1,2024-05-29T06:29:55.874222030+00:00,E12
SME-0007,Step2,2024-05-29T14:19:16.326921838+00:00,E1
SME-0007,Step3,2024-05-30T02:16:02.148529156+00:00,E6
SME-0007,Step4,2024-05-30T08:19:39.936045796+00:00,E8
SME-0008,Step0,2024-05-28T00:00:00+00:00,E6
SME-0008,Step1,2024-05-28T09:38:37.113748266+00:00,E7
SME-0008,Step2,2024-05-28T18:43:22.663191099+00:00,E1
SME-0008,Step3,2024-05-29T03:32:43.921159493+00:00,E5
SME-0008,Step4,2024-05-29T05:48:35.253437416+00:00,E12
SME-0009,Step0,2024-12-20T00:00:00+00:00,E12
SME-0009,Step1,2024-12-20T01:09:42.369676628+00:00,E12
SME-0009,Step2,2024-12-20T12:57:17.693263255+00:00,E2
SME-0009,Step3,2024-12-21T00:29:03.216375849+00:00,E11
SME-0009,Step4,2024-12-21T12:10:59.317403238+00:00,E5
SME-0009,Step5,2024-12-21T22:58:20.765409770+00:00,E2
SME-0010,Step0,2024-10-27T00:00:00+00:00,E4
SME-0010,Step1,2024-10-27T11:09:31.794327425+00:00,E11
SME-0010,Step2,2024-10-27T15:05:10.553110199+00:00,E10
SME-0010,Step3,2024-10-27T20:57:23.565137590+00:00,E6
SME-0011,Step0,2024-09-09T00:00:00+00:00,E1
SME-0011,Step1,2024-09-09T07:45:29.180579180+00:00,E9
SME-0011,Step2,2024-09-09T16:40:10.283583118+00:00,E7
SME-0011,Step3,2024-09-09T17:50:43.556072251+00:00,E1
SME-0011,Step4,2024-09-10T00:29:08.801513429+00:00,E2
SME-0011,Step5,2024-09-10T11:42:21.328656990+00:00,E10
SME-0011,Step6,2024-09-10T21:57:37.492929640+00:00,E4
SME-0012,Step0,2024-08-25T00:00:00+00:00,E5
SME-0012,Step1,2024-08-25T11:37:36.058399049+00:00,E6
SME-0012,Step2,2024-08-25T15:28:27.096288617+00:00,E2
SME-0012,Step3,2024-08-25T19:07:57.454566753+00:00,E7
SME-0013,Step0,2024-11-20T00:00:00+00:00,E2
SME-0013,Step1,2024-11-20T07:26:50.473366584+00:00,E10
SME-0013,Step2,2024-11-20T14:32:32.457252645+00:00,E4
SME-0014,Step0,2024-10-22T00:00:00+00:00,E6
SME-0014,Step1,2024-10-22T09:59:57.590450448+00:00,E6
SME-0014,Step2,2024-10-22T17:53:27.246362270+00:00,E5
SME-0014,Step3,2024-10-22T22:57:15.661041500+00:00,E9
SME-0015,Step0,2024-03-25T00:00:00+00:00,E8
SME-0015,Step1,2024-03-25T02:36:00.752112186+00:00,E11
SME-0015,Step2,2024-03-25T13:36:35.126994012+00:00,E10
SME-0016,Step0,2024-08-04T00:00:00+00:00,E10
SME-0016,Step1,2024-08-04T10:07:40.237817012+00:00,E5
SME-0016,Step2,2024-08-04T15:08:36.065664239+00:00,E2
SME-0016,Step3,2024-08-04T17:00:29.815135998+00:00,E1
SME-0016,Step4,2024-08-04T21:01:14.239440540+00:00,E4
SME-0016,Step5,2024-08-05T05:44:59.261438667+00:00,E8
SME-0017,Step0,2024-12-10T00:00:00+00:00,E1
SME-0017,Step1,2024-12-10T05:11:18.512129111+00:00,E5
SME-0017,Step2,2024-12-10T10:54:57.564951782+00:00,E1
SME-0017,Step3,2024-12-10T22:39:25.472900449+00:00,E4
SME-0017,Step4,2024-12-11T08:11:22.843949281+00:00,E6
SME-0017,Step5,2024-12-11T12:09:28.380655112+00:00,E1
SME-0017,Step6,2024-12-11T22:39:07.940741008+00:00,E4
SME-0018,Step0,2024-11-17T00:00:00+00:00,E8
SME-0018,Step1,2024-11-17T04:28:31.364396560+00:00,E7
SME-0018,Step2,2024-11-17T07:29:06.774602051+00:00,E12
SME-0018,Step3,2024-11-17T17:25:15.256367256+00:00,E4
SME-0019,Step0,2024-07-11T00:00:00+00:00,E12
SME-0019,Step1,2024-07-11T09:13:50.640730749+00:00,E12
SME-0019,Step2,2024-07-11T12:56:57.651647504+00:00,E8
SME-0019,Step3,2024-07-11T15:30:11.015300784+00:00,E11
SME-0019,Step4,2024-07-12T00:21:49.909352312+00:00,E2
SME-0020,Step0,2024-09-05T00:00:00+00:00,E5
SME-0020,Step1,2024-09-05T07:10:31.470394988+00:00,E11
SME-0020,Step2,2024-09-05T10:18:39.009401463+00:00,E9
SME-0020,Step3,2024-09-05T17:05:49.490446730+00:00,E7
SME-0020,Step4,2024-09-05T19:04:31.341800482+00:00,E10
SME-0020,Step5,2024-09-06T06:52:36.272448299+00:00,E7
SME-0020,Step6,2024-09-06T07:56:50.064201805+00:00,E1
SME-0021,Step0,2024-09-27T00:00:00+00:00,E12
SME-0021,Step1,2024-09-27T04:30:59.392796793+00:00,E8
SME-0021,Step2,2024-09-27T12:54:51.447499901+00:00,E10
SME-0021,Step3,2024-09-27T16:03:37.700478790+00:00,E3
SME-0021,Step4,2024-09-27T23:41:06.371863423+00:00,E8
SME-0022,Step0,2024-02-01T00:00:00+00:00,E1
SME-0022,Step1,2024-02-01T09:11:06.260179592+00:00,E6
SME-0022,Step2,2024-02-01T14:27:13.702758258+00:00,E4
SME-0022,Step3,2024-02-01T16:08:44.364497074+00:00,E3
SME-0022,Step4,2024-02-01T18:06:39.972812749+00:00,E9
SME-0023,Step0,2024-12-23T00:00:00+00:00,E11
SME-0023,Step1,2024-12-23T11:02:19.828572179+00:00,E6
SME-0023,Step2,2024-12-23T22:06:26.657392604+00:00,E2
SME-0023,Step3,2024-12-24T00:30:31.816550940+00:00,E10
SME-0024,Step0,2024-01-27T00:00:00+00:00,E3
SME-0024,Step1,2024-01-27T06:27:44.239074434+00:00,E9
SME-0024,Step2,2024-01-27T09:15:40.558355814+00:00,E8
SME-0024,Step3,2024-01-27T13:45:34.046914507+00:00,E4
SME-0024,Step4,2024-01-27T22:34:44.889499838+00:00,E9
SME-0024,Step5,2024-01-28T05:09:40.695977401+00:00,E1
SME-0024,Step6,2024-01-28T14:50:51.458982811+00:00,E6
SME-0025,Step0,2024-02-03T00:00:00+00:00,E4
SME-0025,Step1,2024-02-03T06:22:38.303030718+00:00,E9
SME-0025,Step2,2024-02-03T18:15:10.638232083+00:00,E10
SME-0026,Step0,2024-03-07T00:00:00+00:00,E1
SME-0026,Step1,2024-03-07T09:56:55.948941513+00:00,E8
SME-0026,Step2,2024-03-07T17:34:48.765589061+00:00,E6
SME-0026,Step3,2024-03-08T04:37:50.919792273+00:00,E10
SME-0026,Step4,2024-03-08T06:20:55.628282160+00:00,E8
SME-0026,Step5,2024-03-08T11:32:55.493568823+00:00,E7
SME-0026,Step6,2024-03-08T16:07:47.099966410+00:00,E11
SME-0027,Step0,2024-12-28T00:00:00+00:00,E2
SME-0027,Step1,2024-12-28T10:39:10.144672523+00:00,E1
SME-0027,Step2,2024-12-28T12:36:28.013612232+00:00,E6
SME-0027,Step3,2024-12-28T22:17:18.536710955+00:00,E10
SME-0027,Step4,2024-12-29T08:04:46.713347713+00:00,E9
SME-0028,Step0,2024-04-27T00:00:00+00:00,E9
SME-0028,Step1,2024-04-27T05:35:30.945243293+00:00,E5
SME-0028,Step2,2024-04-27T12:32:50.780595047+00:00,E5
SME-0028,Step3,2024-04-27T18:01:25.913500363+00:00,E7
SME-0029,Step0,2024-06-07T00:00:00+00:00,E9
SME-0029,Step1,2024-06-07T02:31:41.694493159+00:00,E11
SME-0029,Step2,2024-06-07T12:33:37.376793586+00:00,E5
SME-0029,Step3,2024-06-08T00:21:37.778379309+00:00,E9
SME-0030,Step0,2024-11-03T00:00:00+00:00,E4
SME-0030,Step1,2024-11-03T06:32:25.608376342+00:00,E8
SME-0030,Step2,2024-11-03T15:49:42.091304264+00:00,E12
SME-0030,Step3,2024-11-03T22:03:57.515354226+00:00,E7
SME-0030,Step4,2024-11-04T08:34:03.450501670+00:00,E11
SME-0030,Step5,2024-11-04T12:48:02.851038262+00:00,E2
SME-0030,Step6,2024-11-04T22:14:41.880929607+00:00,E9
SME-0031,Step0,2024-07-27T00:00:00+00:00,E4
SME-0031,Step1,2024-07-27T06:14:16.211743393+00:00,E12
